Datetime,Water Level (m)
2023-02-05 06:00:00,-0.013408286
2023-02-05 07:00:00,0.10856377
2023-02-05 08:00:00,0.11731974
2023-02-05 09:00:00,-0.027540036
2023-02-05 10:00:00,-0.1795087
2023-02-05 11:00:00,-0.3266174
2023-02-05 12:00:00,-0.4814788
2023-02-05 13:00:00,-0.62200284
2023-02-05 14:00:00,-0.7064221
2023-02-05 15:00:00,-0.5842241
2023-02-05 16:00:00,-0.3206863
2023-02-05 17:00:00,-0.10919618
2023-02-05 18:00:00,0.102403514
2023-02-05 19:00:00,0.26952496
2023-02-05 20:00:00,0.3816091
2023-02-05 21:00:00,0.26383683
2023-02-05 22:00:00,0.06436197
2023-02-05 23:00:00,-0.10317463
2023-02-06 00:00:00,-0.27802137
2023-02-06 01:00:00,-0.44502798
2023-02-06 02:00:00,-0.5926075
2023-02-06 03:00:00,-0.6608665
2023-02-06 04:00:00,-0.4897367
2023-02-06 05:00:00,-0.2591604
2023-02-06 06:00:00,-0.08473414
2023-02-06 07:00:00,0.07639456
2023-02-06 08:00:00,0.1506788
2023-02-06 09:00:00,0.070025094
2023-02-06 10:00:00,-0.10400509
2023-02-06 11:00:00,-0.25314328
2023-02-06 12:00:00,-0.41048303
2023-02-06 13:00:00,-0.5679208
2023-02-06 14:00:00,-0.6892102
2023-02-06 15:00:00,-0.69975394
2023-02-06 16:00:00,-0.45567513
2023-02-06 17:00:00,-0.22375996
2023-02-06 18:00:00,-0.0011957234
2023-02-06 19:00:00,0.21303213
2023-02-06 20:00:00,0.4183588
2023-02-06 21:00:00,0.41648272
2023-02-06 22:00:00,0.20154507
2023-02-06 23:00:00,0.014764973
2023-02-07 00:00:00,-0.17125054
2023-02-07 01:00:00,-0.3478462
2023-02-07 02:00:00,-0.51920116
2023-02-07 03:00:00,-0.6347922
2023-02-07 04:00:00,-0.5957647
2023-02-07 05:00:00,-0.33207583
2023-02-07 06:00:00,-0.13833612
2023-02-07 07:00:00,0.04356328
2023-02-07 08:00:00,0.17807037
2023-02-07 09:00:00,0.18333772
2023-02-07 10:00:00,0.03718606
2023-02-07 11:00:00,-0.12439656
2023-02-07 12:00:00,-0.27776986
2023-02-07 13:00:00,-0.44111454
2023-02-07 14:00:00,-0.5942348
2023-02-07 15:00:00,-0.6905028
2023-02-07 16:00:00,-0.57886386
2023-02-07 17:00:00,-0.30600083
2023-02-07 18:00:00,-0.08430879
2023-02-07 19:00:00,0.14015688
2023-02-07 20:00:00,0.35589698
2023-02-07 21:00:00,0.47469848
2023-02-07 22:00:00,0.31657195
2023-02-07 23:00:00,0.102507986
2023-02-08 00:00:00,-0.0752851
2023-02-08 01:00:00,-0.25953862
2023-02-08 02:00:00,-0.43369192
2023-02-08 03:00:00,-0.5851841
2023-02-08 04:00:00,-0.6524353
2023-02-08 05:00:00,-0.46315542
2023-02-08 06:00:00,-0.21958578
2023-02-08 07:00:00,-0.03340933
2023-02-08 08:00:00,0.1443539
2023-02-08 09:00:00,0.22651601
2023-02-08 10:00:00,0.15263738
2023-02-08 11:00:00,-0.025685117
2023-02-08 12:00:00,-0.17925468
2023-02-08 13:00:00,-0.34510604
2023-02-08 14:00:00,-0.5134533
2023-02-08 15:00:00,-0.63686675
2023-02-08 16:00:00,-0.66527957
2023-02-08 17:00:00,-0.42825523
2023-02-08 18:00:00,-0.1888277
2023-02-08 19:00:00,0.03027353
2023-02-08 20:00:00,0.24029453
2023-02-08 21:00:00,0.42414352
2023-02-08 22:00:00,0.40377986
2023-02-08 23:00:00,0.17247772
2023-02-09 00:00:00,-0.0051519345
2023-02-09 01:00:00,-0.19087556
2023-02-09 02:00:00,-0.36946493
2023-02-09 03:00:00,-0.532248
2023-02-09 04:00:00,-0.6487029
2023-02-09 05:00:00,-0.5843912
2023-02-09 06:00:00,-0.32506475
2023-02-09 07:00:00,-0.12505497
2023-02-09 08:00:00,0.06406393
2023-02-09 09:00:00,0.2030174
2023-02-09 10:00:00,0.21323378
2023-02-09 11:00:00,0.07550523
2023-02-09 12:00:00,-0.08839321
2023-02-09 13:00:00,-0.24433759
2023-02-09 14:00:00,-0.4082587
2023-02-09 15:00:00,-0.56190586
2023-02-09 16:00:00,-0.655781
2023-02-09 17:00:00,-0.5621723
2023-02-09 18:00:00,-0.29161155
2023-02-09 19:00:00,-0.08365078
2023-02-09 20:00:00,0.12928091
2023-02-09 21:00:00,0.29808295
2023-02-09 22:00:00,0.401079
2023-02-09 23:00:00,0.22664803
2023-02-10 00:00:00,0.033118803
2023-02-10 01:00:00,-0.14009795
2023-02-10 02:00:00,-0.31864586
2023-02-10 03:00:00,-0.48734972
2023-02-10 04:00:00,-0.6303808
2023-02-10 05:00:00,-0.6708084
2023-02-10 06:00:00,-0.46371832
2023-02-10 07:00:00,-0.24004598
2023-02-10 08:00:00,-0.05560736
2023-02-10 09:00:00,0.12592424
2023-02-10 10:00:00,0.21547997
2023-02-10 11:00:00,0.15668355
2023-02-10 12:00:00,-0.014961214
2023-02-10 13:00:00,-0.16589543
2023-02-10 14:00:00,-0.320809
2023-02-10 15:00:00,-0.47523472
2023-02-10 16:00:00,-0.606211
2023-02-10 17:00:00,-0.63424176
2023-02-10 18:00:00,-0.41010103
2023-02-10 19:00:00,-0.18866324
2023-02-10 20:00:00,0.007444253
2023-02-10 21:00:00,0.19486777
2023-02-10 22:00:00,0.29476896
2023-02-10 23:00:00,0.23969848
2023-02-11 00:00:00,0.054672144
2023-02-11 01:00:00,-0.106458
2023-02-11 02:00:00,-0.27360705
2023-02-11 03:00:00,-0.4400633
2023-02-11 04:00:00,-0.59341854
2023-02-11 05:00:00,-0.689218
2023-02-11 06:00:00,-0.60115445
